Country,Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Russian Federation,2001,Developing,65.1,38,21,10.47,2.642527148,43,2072,54.2,25,97,5.67,96,0.3,21.362386,14597683,2.8,3,0.72,12.5
Russian Federation,2000,Developing,65,37,22,10.18,224.4600248,,4800,54,26,97,5.42,96,0.2,1771.58662,146596557,2.9,3,0.709,12.1
Australia,2015,Developed,82.8,59,1,,0,93,74,66.6,1,93,,93,0.1,56554.3876,23789338,0.6,0.6,0.937,20.4
Australia,2014,Developed,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,62214.6912,2346694,0.6,0.6,0.936,20.4
Australia,2013,Developed,82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.6,0.6,0.933,20.3
Australia,2012,Developed,82.3,61,1,10.03,11714.99858,91,199,65,1,92,9.36,92,0.1,67677.63477,22728254,0.6,0.6,0.93,20.1
Australia,2011,Developed,82,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,62245.129,223424,0.6,0.6,0.927,19.8
Australia,2010,Developed,81.9,64,1,10.52,8875.786493,92,70,63.9,1,92,9.2,92,0.1,51874.848,223175,0.7,0.6,0.927,19.5
Australia,2009,Developed,81.7,66,1,10.62,7172.275229,94,104,63.4,1,92,9.5,92,0.1,42742.99898,216917,0.7,0.6,0.925,19.1
Australia,2008,Developed,81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,49664.6854,212492,0.7,0.6,0.921,19.1
Australia,2007,Developed,81.3,66,1,10.56,872.5986092,94,11,62.5,2,92,8.53,92,0.1,4991.98289,28276,0.7,0.6,0.918,19
Australia,2006,Developed,81.2,66,1,10.31,6187.062017,95,0,62,2,92,8.49,92,0.1,36118.28381,26979,0.7,0.6,0.915,20.3
Australia,2005,Developed,81,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,3416.71483,23948,0.7,0.6,0.91,20.3
Australia,2004,Developed,86,69,1,9.84,588.568371,95,70,6.9,1,92,8.57,92,0.1,3472.37977,21274,0.7,0.6,0.908,20.7
Australia,2003,Developed,83,71,1,9.97,3829.550928,95,91,6.3,1,92,8.32,93,0.1,23465.38559,198954,0.7,0.7,0.905,20.6
Australia,2002,Developed,79.9,73,1,9.84,46.3871819,95,32,59.6,2,92,8.39,92,0.1,281.81763,196514,0.7,0.7,0.902,20.1
Australia,2001,Developed,79.9,75,1,9.53,3064.301144,94,141,59,2,91,8.18,92,0.1,19517.84168,19413,0.7,0.7,0.899,20.5
Australia,2000,Developed,79.5,78,1,10.17,347.18736,,108,58.2,2,9,8.8,9,0.1,2169.921,19153,0.7,0.7,0.897,20.4
Spain,2015,Developed,82.8,56,1,,0,97,115,66.6,1,97,,97,0.1,25683.84565,46447697,0.6,0.5,0.882,17.7
Spain,2014,Developed,82.6,58,1,0.01,42.98847625,96,154,66,1,97,9.3,97,0.1,296.47225,4648882,0.6,0.5,0.877,17.6
Spain,2013,Developed,82.4,6,1,9.25,423.680459,95,131,65.4,2,96,9.1,96,0.1,2921.9342,466245,0.6,0.5,0.874,17.5
Spain,2012,Developed,82,61,1,9.35,4255.781693,96,1204,64.8,2,97,9.39,97,0.1,28562.29324,4677355,0.6,0.5,0.871,17.2
Spain,2011,Developed,82.1,63,1,9.62,4873.8188,97,3802,64.1,2,97,9.48,97,0.1,31834.21816,46742697,0.6,0.5,0.867,16.9
Spain,2010,Developed,81.9,64,1,9.78,578.7417172,97,302,63.5,2,97,9.56,97,0.1,3736.228,46576897,0.6,0.5,0.86,16.4
Spain,2009,Developed,81.6,66,2,9.99,5047.254058,96,41,62.9,2,96,9.52,96,0.1,32333.4661,46362946,0.6,0.5,0.858,16.3
Spain,2008,Developed,81.3,7,2,10.24,5596.535203,97,297,62.3,2,97,8.8,97,0.1,35578.73619,4595416,0.6,0.5,0.854,16.1
Spain,2007,Developed,89,72,2,11.05,510.9327012,96,267,61.7,2,96,8.36,96,0.1,3279.414,4522683,0.6,0.5,0.849,16
Spain,2006,Developed,88,73,2,11.86,4460.390006,97,362,61.1,2,98,8.23,98,0.1,28482.6948,44397319,0.6,0.5,0.844,15.9
Spain,2005,Developed,81,77,2,11.92,405.4475981,96,22,6.5,2,96,8.12,96,0.1,2651.71745,43653155,0.6,0.5,0.837,15.8
Spain,2004,Developed,81,79,2,11.96,3715.370095,97,26,59.9,2,97,8.5,97,0.1,24918.64584,42921895,0.6,0.5,0.833,15.6
Spain,2003,Developed,79.4,83,2,12.09,3205.019918,81,256,59.3,2,99,7.99,98,0.1,21495.7741,42187645,0.6,0.5,0.83,15.6
Spain,2002,Developed,79.5,83,2,12.26,228.3543024,82,67,58.8,2,98,7.25,98,0.1,1719.53541,41431558,0.6,0.5,0.828,15.7
Spain,2001,Developed,79.4,84,2,9.86,2044.169761,83,0,58.2,2,95,7.24,96,0.1,15323.6114,485412,0.6,0.5,0.825,15.7
Spain,2000,Developed,79.1,86,2,11.12,1934.398154,77,152,57.6,2,95,7.21,95,0.1,14676.769,4567864,0.6,0.5,0.82,15.7
Mexico,2015,Developing,76.7,122,30,,0,82,0,63.5,35,87,,87,0.1,9143.128494,12589949,1.5,1.5,0.758,13.3
Mexico,2014,Developing,76.6,122,31,5.26,168.173753,84,3,62.8,36,87,6.3,87,0.1,1452.27766,1242216,1.6,1.5,0.754,13.1
Mexico,2013,Developing,76.6,12,32,5.23,150.408875,82,0,62.1,37,83,6.3,83,0.1,1298.86766,122535969,1.6,1.5,0.753,12.9
Mexico,2012,Developing,76.3,123,33,5.29,112.696486,99,0,61.5,38,99,6.21,99,0.1,982.532572,1282837,1.6,1.5,0.748,12.7
Mexico,2011,Developing,76.1,124,34,5.3,1117.196097,98,3,6.8,39,97,6.4,97,0.1,9834.472689,119917,1.6,1.6,0.745,12.6
Mexico,2010,Developing,75.6,127,35,5.21,1033.039737,93,0,6.1,40,95,6.39,95,0.1,8959.581416,117318941,1.6,1.6,0.739,12.5
Mexico,2009,Developing,75.7,13,36,5.27,881.7364327,95,0,59.4,42,95,6.6,95,0.1,7748.12331,11555228,1.7,1.6,0.738,12.5
Mexico,2008,Developing,75.6,127,37,5.36,159.8772264,97,0,58.7,43,96,6.6,96,0.1,9689.52887,11366189,1.7,1.6,0.735,12.3
Mexico,2007,Developing,76,123,38,5.35,105.7476131,98,0,57.9,45,98,5.92,98,0.1,933.341687,111836346,1.7,1.7,0.731,12.3
Mexico,2006,Developing,75.8,125,40,5.11,980.2537444,98,23,57.2,47,98,5.83,98,0.1,8767.92258,1192378,1.8,1.7,0.723,12.2
Mexico,2005,Developing,75.3,126,42,4.93,998.3498049,98,6,56.4,49,98,6.4,98,0.1,7986.798439,18472228,1.8,1.7,0.719,12.2
Mexico,2004,Developing,75.4,124,44,4.9,920.8284115,98,64,55.7,52,98,6.11,98,0.1,7199.59665,16995583,1.8,1.8,0.714,12.1
Mexico,2003,Developing,75,127,46,4.88,781.2062828,98,44,54.9,55,98,6.2,98,0.1,6751.998987,1564453,1.9,1.8,0.708,11.9
Mexico,2002,Developing,75,127,49,4.77,12.1859723,97,0,54.1,58,98,5.52,97,0.1,716.8219,1435568,1.9,1.8,0.703,11.6
Mexico,2001,Developing,75,126,52,4.86,13.31109532,97,3,53.2,62,97,5.35,97,0.1,731.378864,136768,1.9,1.9,0.7,11.6
Mexico,2000,Developing,74.8,129,55,4.99,10.22840118,97,30,52.4,66,97,4.98,97,0.1,672.92113,11719673,2,1.9,0.694,11.4
